time,avg,max,med,min,q25,q75,std,num_peaks,peak_prominence,peak_distance,exercise,pace,sensor_type
2024-12-09 13:36:34,"0    0.022532
Name: avg, dtype: float64","0    0.235234
Name: max, dtype: float64","0    0.009768
Name: med, dtype: float64","0   -0.12097
Name: min, dtype: float64","0   -0.042675
Name: q25, dtype: float64","0    0.065585
Name: q75, dtype: float64","0    0.08628
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:36,"0    0.004267
Name: avg, dtype: float64","0    0.327995
Name: max, dtype: float64","0   -0.033683
Name: med, dtype: float64","0   -0.147098
Name: min, dtype: float64","0   -0.102572
Name: q25, dtype: float64","0    0.083154
Name: q75, dtype: float64","0    0.131393
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:38,"0    0.096929
Name: avg, dtype: float64","0    0.565334
Name: max, dtype: float64","0    0.018963
Name: med, dtype: float64","0   -0.116685
Name: min, dtype: float64","0   -0.041981
Name: q25, dtype: float64","0    0.237693
Name: q75, dtype: float64","0    0.180439
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:40,"0    0.000399
Name: avg, dtype: float64","0    0.175787
Name: max, dtype: float64","0   -0.007336
Name: med, dtype: float64","0   -0.147872
Name: min, dtype: float64","0   -0.073733
Name: q25, dtype: float64","0    0.068809
Name: q75, dtype: float64","0    0.091186
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:42,"0   -0.036881
Name: avg, dtype: float64","0    0.137536
Name: max, dtype: float64","0   -0.028163
Name: med, dtype: float64","0   -0.173616
Name: min, dtype: float64","0   -0.113702
Name: q25, dtype: float64","0    0.020623
Name: q75, dtype: float64","0    0.08326
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:44,"0   -0.065082
Name: avg, dtype: float64","0    0.165429
Name: max, dtype: float64","0   -0.097999
Name: med, dtype: float64","0   -0.177283
Name: min, dtype: float64","0   -0.12259
Name: q25, dtype: float64","0   -0.006506
Name: q75, dtype: float64","0    0.078606
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:46,"0   -0.073732
Name: avg, dtype: float64","0    0.159297
Name: max, dtype: float64","0   -0.077933
Name: med, dtype: float64","0   -0.20661
Name: min, dtype: float64","0   -0.149778
Name: q25, dtype: float64","0   -0.015166
Name: q75, dtype: float64","0    0.085741
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:48,"0    0.080347
Name: avg, dtype: float64","0    0.355251
Name: max, dtype: float64","0    0.083577
Name: med, dtype: float64","0   -0.09048
Name: min, dtype: float64","0    0.000589
Name: q25, dtype: float64","0    0.151869
Name: q75, dtype: float64","0    0.104801
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:50,"0   -0.072363
Name: avg, dtype: float64","0    0.066072
Name: max, dtype: float64","0   -0.075668
Name: med, dtype: float64","0   -0.146451
Name: min, dtype: float64","0   -0.112234
Name: q25, dtype: float64","0   -0.046088
Name: q75, dtype: float64","0    0.048729
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-09 13:36:52,"0   -0.091058
Name: avg, dtype: float64","0    0.126584
Name: max, dtype: float64","0   -0.099485
Name: med, dtype: float64","0   -0.158944
Name: min, dtype: float64","0   -0.132255
Name: q25, dtype: float64","0   -0.063432
Name: q75, dtype: float64","0    0.054214
Name: std, dtype: float64","0    75.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    41.202703
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
